Filled container:
Container contains 10000 elements.
0: It is CIRCLE. Center coordinates: (-48, 93), radius: 49. Perimeter = 307.876080; Color: RED
39: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
40: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
41: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
42: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
43: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
44: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
45: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
46: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
47: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
48: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
49: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
50: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
51: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
52: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
53: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
54: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
55: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
56: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
57: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
58: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
59: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
60: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
61: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
62: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
63: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
64: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
65: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
66: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
67: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
68: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
69: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
70: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
71: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
72: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
73: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
74: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
75: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
76: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
77: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
78: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
79: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
80: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
81: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
82: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
83: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
84: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
85: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
86: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
87: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
88: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
89: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
90: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
91: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
92: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
93: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
94: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
95: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
96: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
97: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
98: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
99: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
100: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
101: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
102: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
103: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
104: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
105: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
106: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
107: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
108: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
109: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
110: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
111: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
112: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
113: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
114: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
115: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
116: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
117: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
118: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
119: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
120: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
121: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
122: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
123: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
124: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
125: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
126: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
127: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
128: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
129: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
130: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
131: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
132: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
133: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
134: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
135: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
136: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
137: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
138: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
139: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
140: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
141: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
142: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
143: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
144: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
145: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
146: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
147: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
148: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
149: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
150: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
151: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
152: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
153: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
154: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
155: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
156: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
157: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
158: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
159: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
160: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
161: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
162: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
163: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
164: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
165: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
166: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
167: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
168: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
169: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
170: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
171: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
172: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
173: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
174: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
175: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
176: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
177: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
178: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
179: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
180: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
181: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
182: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
183: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
184: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
185: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
186: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
187: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
188: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
189: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
190: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
191: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
192: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
193: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
194: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
195: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
196: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
197: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
198: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
199: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
200: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
201: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
202: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
203: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
204: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
205: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
206: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
207: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
208: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
209: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
210: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
211: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
212: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
213: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
214: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
215: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
216: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
217: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
218: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
219: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
220: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
221: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
222: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
223: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
224: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
225: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
226: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
227: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
228: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
229: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
230: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
231: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
232: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
233: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
234: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
235: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
236: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
237: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
238: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
239: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
240: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
241: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
242: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
243: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
244: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
245: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
246: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
247: It is RECTANGLE. Coordinates of angles: (-60, 49), (-27, 138). Perimeter = 244.000000; Color: PURPLE
